timestamp,measure_id,value
2025-10-17T00:00:00,room1_temp,22.45
2025-10-17T00:00:00,room1_humi,47.66
2025-10-17T00:00:00,room1_lux,16.01
2025-10-17T00:00:00,room1_noise,56.05
2025-10-17T00:00:00,room1_light_switch,0.0
2025-10-17T00:00:00,room1_hvac_switch,0.0
2025-10-17T01:00:00,room1_temp,23.81
2025-10-17T01:00:00,room1_humi,51.66
2025-10-17T01:00:00,room1_lux,17.91
2025-10-17T01:00:00,room1_noise,50.43
2025-10-17T01:00:00,room1_light_switch,0.0
2025-10-17T01:00:00,room1_hvac_switch,0.0
2025-10-17T02:00:00,room1_temp,21.61
2025-10-17T02:00:00,room1_humi,46.3
2025-10-17T02:00:00,room1_lux,13.13
2025-10-17T02:00:00,room1_noise,44.18
2025-10-17T02:00:00,room1_light_switch,0.0
2025-10-17T02:00:00,room1_hvac_switch,0.0
2025-10-17T03:00:00,room1_temp,23.31
2025-10-17T03:00:00,room1_humi,36.21
2025-10-17T03:00:00,room1_lux,29.71
2025-10-17T03:00:00,room1_noise,40.82
2025-10-17T03:00:00,room1_light_switch,0.0
2025-10-17T03:00:00,room1_hvac_switch,0.0
2025-10-17T04:00:00,room1_temp,21.06
2025-10-17T04:00:00,room1_humi,38.4
2025-10-17T04:00:00,room1_lux,10.28
2025-10-17T04:00:00,room1_noise,36.39
2025-10-17T04:00:00,room1_light_switch,0.0
2025-10-17T04:00:00,room1_hvac_switch,1.0
2025-10-17T05:00:00,room1_temp,24.59
2025-10-17T05:00:00,room1_humi,45.33
2025-10-17T05:00:00,room1_lux,20.72
2025-10-17T05:00:00,room1_noise,40.1
2025-10-17T05:00:00,room1_light_switch,0.0
2025-10-17T05:00:00,room1_hvac_switch,0.0
2025-10-17T06:00:00,room1_temp,21.4
2025-10-17T06:00:00,room1_humi,49.58
2025-10-17T06:00:00,room1_lux,19.07
2025-10-17T06:00:00,room1_noise,51.33
2025-10-17T06:00:00,room1_light_switch,1.0
2025-10-17T06:00:00,room1_hvac_switch,1.0
2025-10-17T07:00:00,room1_temp,21.66
2025-10-17T07:00:00,room1_humi,36.3
2025-10-17T07:00:00,room1_lux,22.78
2025-10-17T07:00:00,room1_noise,37.39
2025-10-17T07:00:00,room1_light_switch,0.0
